0	0	0
20	1.417	1.419
25	3.953	3.991
30	6.12	6.212
40	7.041	9.575
60	8.764	11.841
80	9.161	12.467
100	9.604	12.695
120	9.687	12.627
150	9.505	12.445
200	8.608	11.539
250	7.601	10.758
300	6.972	10.426
350	6.045	9.704
400	5.535	9.384
500	4.372	8.656
600	3.825	8.159
700	3.209	7.933
800	2.803	7.491
900	2.548	7.276
1000	2.314	7.044
1200	1.841	6.563
1400	1.661	6.462
1600	1.503	6.127
1800	1.334	6.109
2000	1.196	5.962
2500	1.063	5.638
3000	0.787	5.593
4000	0.565	5.518
