 54
   0.22314 -11.76075   0.40547 -10.03474   0.69315  -8.64616   0.71491  -8.57112
   1.09861  -7.59135   1.38629  -7.10596   1.60944  -6.81063   1.79176  -6.60395
   1.94591  -6.45033   2.07944  -6.32890   2.19722  -6.22972   2.30259  -6.14788
   2.39790  -6.07833   2.48491  -6.01863   2.56495  -5.96580   2.63906  -5.91896
   2.70805  -5.87707   2.77259  -5.83892   2.89037  -5.77249   2.99573  -5.71626
   3.09104  -5.66735   3.17805  -5.62460   3.25810  -5.58680   3.33220  -5.55269
   3.40120  -5.52196   3.68888  -5.40235   3.91202  -5.31811   4.09434  -5.25430
   4.38203  -5.16187   4.60517  -5.09685   5.01064  -4.99363   5.29832  -4.93173
   5.70378  -4.85968   5.99146  -4.81849   6.21461  -4.79150   6.39693  -4.77229
   6.68461  -4.74673   6.90776  -4.73028   7.31322  -4.70665   7.60090  -4.69367
   8.00637  -4.68022   8.29405  -4.67206   8.51719  -4.66736   8.69951  -4.66407
   8.98720  -4.65973   9.21034  -4.65699   9.61581  -4.65342   9.90349  -4.65132
  10.30895  -4.64944  10.59663  -4.64797  10.81978  -4.64724  11.00210  -4.64683
  11.28978  -4.64630  11.51293  -4.64589
 54
   0.22314 -10.37285   0.40547  -8.64787   0.69315  -7.25958   0.71491  -7.18430
   1.09861  -6.20466   1.38629  -5.71961   1.60944  -5.42502   1.79176  -5.21784
   1.94591  -5.06388   2.07944  -4.94246   2.19722  -4.84368   2.30259  -4.76159
   2.39790  -4.69215   2.48491  -4.63234   2.56495  -4.57950   2.63906  -4.53285
   2.70805  -4.49095   2.77259  -4.45331   2.89037  -4.38684   2.99573  -4.33057
   3.09104  -4.28164   3.17805  -4.23914   3.25810  -4.20104   3.33220  -4.16756
   3.40120  -4.13704   3.68888  -4.01850   3.91202  -3.93632   4.09434  -3.87473
   4.38203  -3.78760   4.60517  -3.72804   5.01064  -3.63705   5.29832  -3.58452
   5.70378  -3.52574   5.99146  -3.49298   6.21461  -3.47183   6.39693  -3.45713
   6.68461  -3.43734   6.90776  -3.42498   7.31322  -3.40701   7.60090  -3.39740
   8.00637  -3.38729   8.29405  -3.38110   8.51719  -3.37758   8.69951  -3.37524
   8.98720  -3.37203   9.21034  -3.36999   9.61581  -3.36767   9.90349  -3.36593
  10.30895  -3.36448  10.59663  -3.36361  10.81978  -3.36303  11.00210  -3.36275
  11.28978  -3.36246  11.51293  -3.36217
 54
   0.22314  -9.55961   0.40547  -7.83587   0.69315  -6.44843   0.71491  -6.37302
   1.09861  -5.39373   1.38629  -4.90858   1.60944  -4.61381   1.79176  -4.40714
   1.94591  -4.25311   2.07944  -4.13142   2.19722  -4.03306   2.30259  -3.95076
   2.39790  -3.88149   2.48491  -3.82173   2.56495  -3.76879   2.63906  -3.72223
   2.70805  -3.68051   2.77259  -3.64238   2.89037  -3.57627   2.99573  -3.52032
   3.09104  -3.47183   3.17805  -3.42960   3.25810  -3.39204   3.33220  -3.35871
   3.40120  -3.32841   3.68888  -3.21289   3.91202  -3.13385   4.09434  -3.07456
   4.38203  -2.98995   4.60517  -2.93351   5.01064  -2.84714   5.29832  -2.79688
   5.70378  -2.73877   5.99146  -2.70560   6.21461  -2.68370   6.39693  -2.66816
   6.68461  -2.64719   6.90776  -2.63359   7.31322  -2.61401   7.60090  -2.60315
   8.00637  -2.59147   8.29405  -2.58521   8.51719  -2.58124   8.69951  -2.57834
   8.98720  -2.57479   9.21034  -2.57243   9.61581  -2.56929   9.90349  -2.56746
  10.30895  -2.56564  10.59663  -2.56473  10.81978  -2.56408  11.00210  -2.56369
  11.28978  -2.56317  11.51293  -2.56291
 54
   0.22314  -8.97923   0.40547  -7.25831   0.69315  -5.87173   0.71491  -5.79656
   1.09861  -4.81812   1.38629  -4.33286   1.60944  -4.03815   1.79176  -3.83183
   1.94591  -3.67774   2.07944  -3.55645   2.19722  -3.45777   2.30259  -3.37553
   2.39790  -3.30634   2.48491  -3.24676   2.56495  -3.19418   2.63906  -3.14749
   2.70805  -3.10577   2.77259  -3.06809   2.89037  -3.00215   2.99573  -2.94637
   3.09104  -2.89842   3.17805  -2.85632   3.25810  -2.81926   3.33220  -2.78612
   3.40120  -2.75640   3.68888  -2.64198   3.91202  -2.56408   4.09434  -2.50617
   4.38203  -2.42453   4.60517  -2.36926   5.01064  -2.28376   5.29832  -2.23306
